-10075,-1289,13142,
-10670,-1028,13333,
-10412,-1152,12952,
-10038,-1184,13117,
-10257,-1300,13306,
-10120,-1258,13156,
-10132,-1230,12907,
-9867,-1376,13314,
-10105,-1366,13423,
-10142,-1238,13030,
-9714,-1459,13262,
-9907,-1282,13508,
-9968,-1274,13157,
-9821,-1323,12956,
-9953,-1227,13424,
-9977,-1309,13587,
-9857,-1270,13270,
-9815,-1223,13085,
-9985,-1257,13176,
-10002,-1302,13388,
-9831,-1353,13464,
-9834,-1401,13054,
-9990,-1418,13191,
-9987,-1337,13406,
-9951,-1291,13351,
-9925,-1369,13271,
-9916,-1347,13384,
-9860,-1471,13265,
-9998,-1292,13336,
-9973,-1313,13199,
-9841,-1481,13272,
-9800,-1448,13265,
-9866,-1391,13385,
-9930,-1442,13427,
-9872,-1372,13136,
-9761,-1400,13227,
-9963,-1380,13340,
-9860,-1571,13481,
-9745,-1449,13237,
-9880,-1273,13375,
-9775,-1508,13268,
-9786,-1457,13203,
-9761,-1503,13302,
-9904,-1588,13236,
-9597,-1777,13449,
-10368,-1742,13251,
-10270,-1876,13265,
-11126,-1831,11617,
-10538,-1950,12894,
-11113,-2055,12708,
-10970,-3208,11970,
-11021,-2232,11477,
-11004,-3290,12037,
-10986,-3482,12445,
-10475,-3335,11557,
-12581,-4572,11007,
-11737,-3320,10903,
-11510,-3953,11389,
-11960,-4095,10492,
-12633,-3073,10020,
-12511,-2232,9626,
-12303,-2422,10421,
-12508,-3018,10468,
-12513,-2748,10734,
-12443,-2582,11256,
-12437,-2811,10247,
-12562,-2158,10300,
-11788,-2663,10628,
-12696,-3391,10824,
-12316,-2909,10535,
-12008,-2940,9885,
-12927,-3262,10846,
-12792,-3206,10218,
-12735,-3543,10093,
-12449,-3541,10032,
-12854,-2583,14514,
-11821,-2320,9424,
-12225,-3019,10024,
-12799,-2829,10036,
-13447,-2675,10936,
-12969,-2845,13801,
-8505,-5468,13291,
-13339,-1935,11194,
-11002,-1034,11684,
-12348,3308,13297,
-11207,450,12461,
-12658,-1238,10853,
-10450,20,13439,
-11347,1203,12258,
-10642,1726,12622,
-11140,1149,12426,
-10022,1486,13269,
-11029,1332,12640,
-11282,1054,11798,
-11165,1025,11366,
-10428,2211,14492,
-11717,395,10710,
-11841,1745,18585,
-11643,-226,11821,
-11725,106,10953,
-11383,-210,11206,
-10729,-745,12483,
-11656,-880,11382,
-10604,-247,11618,
-11056,-121,12898,
-11459,-985,12162,
-11018,188,11866,
-11820,-426,11615,
-11682,-501,12428,
-11543,-3,11522,
-11643,-170,11514,
-11846,-250,11243,
-11196,-357,12086,
-11108,-907,12094,
-12308,-408,12663,
-10627,-410,12106,
-11542,-916,12044,
-11103,-1104,12421,
-11349,-1042,11808,
-11106,-1292,12179,
-11090,-993,12060,
-11166,-1086,11758,
-11385,-979,12000,
-11044,-1089,13002,
-10716,-1399,12646,
-11017,-1127,12402,
-10918,-1061,12331,
-10726,-593,12695,
-10781,-523,12521,
-11104,-686,12663,
-11003,-859,12744,
-11036,-961,12201,
-11070,-745,12357,
-11016,-753,12278,
-11056,-716,12120,
-11019,-756,12393,
-11154,-622,12412,
-11520,-556,11934,
-11316,-508,11858,
-11661,-390,11813,
-11689,-476,11936,
-11908,-443,11405,
-11863,-157,11585,
-12063,86,11325,
-12505,-2156,7196,
-12326,-421,10946,
-12205,-858,10949,
-12352,242,10911,
-12613,325,10197,
-12200,-157,10920,
-11960,-246,11263,
-12179,-448,10589,
-11630,-339,11861,
-11865,-672,11855,
-11283,-627,11461,
-11357,-618,11719,
-11854,-853,11664,
-11827,-885,11621,
-12196,-249,12756,
-11649,-828,10315,
-12713,1440,16028,
-12543,-898,7084,
-11148,-890,10177,
-11381,-1288,6330,
-11579,-656,12027,
-11748,-739,12081,
-11556,-564,10240,
-11941,-293,11050,
-11924,-200,11269,
-11943,-335,11303,
-11725,-325,11673,
-11542,-366,11607,
-11727,-407,11536,
-11677,-573,11473,
-11648,-265,11110,
-11663,-469,11733,
-11731,-409,11459,
-11753,-409,11649,
-11740,-458,11640,
-11806,-429,11678,
-11648,-431,11854,
-11892,-274,11541,
-11844,-444,11243,
-11850,-494,11389,
-11777,-474,11630,
-12003,-494,11261,
-11966,-448,11248,
-12058,-520,11347,
-12010,-543,11267,
-11834,-758,11856,
-11741,-963,11391,
-11716,-1060,11450,
-11460,-1216,11593,
-11607,-1176,11478,
-11705,-1243,11544,
-11488,-1043,11832,
-11655,-1153,11665,
-11677,-1127,11286,
-11754,-1302,11658,
-11745,-1432,11795,
-11471,-1347,11687,
