371930,112676
190692,74473
164393,134146
88475,249010
16981,361355
216122,421952
601803,407959
552921,329979
191562,226826
95558,148229
390794,130291
469854,176984
188187,261088
30514,343029
145001,391535
429885,393280
586813,352732
160638,288916
437130,229714
299784,201049
442043,214687
747169,263574
363602,328497
233425,390212
80291,436965
223849,462944
205425,463304
27962,433830
58409,375429
62721,297020
323270,213206
392296,139621
112305,89865
172112,73490
400657,92615
513990,139203
543093,198132
389771,255706
422714,306182
358133,350684
476706,391018
248930,425153
48182,447572
38310,451942
196841,432872
407166,387615
339146,319938
332091,243902
311141,181801
415880,154666
220850,171341
320795,223822
34665,291067
77933,347730
230118,373016
409326,357210
114872,305396
45666,236551
222308,175471
579873,140609
709850,137296
695465,161855
501230,210564
390906,282710
566258,374804
525265,473746
252995,558048
165128,606961
258067,609191
420450,565588
386606,487778
330029,395854
261283,314017
555049,262756
535032,251185
45102,275115
154857,320788
325051,369332
45486,400691
1005266,400030
2357766,367220
339681,325812
786869,321746
540045,400225
119166,569232
655858,781273
655620,953545
451166,1013520
102737,938477
105710,763540
170954,556010
372053,377664
808814,261040
1288995,210041
1364584,216858
1734458,279004
691341,403293
346057,593459
1011976,829993
740634,1060629
443997,1216744
341027,1247998
370649,1148023
1070118,954012
1103386,727969
1600972,536405
974070,435418
1502201,458167
515389,603440
369366,830809
970990,1068597
452331,1236160
916301,1275212
234042,1175616
410747,978549
1222985,753946
1195145,568827
659486,467127
1116917,465279
1086014,553801
230980,700561
337662,858740
451616,978353
386502,1018431
306475,959823
171501,814274
124389,621116
1022766,430761
908094,286306
951950,215088
964102,229512
747320,327642
249374,489854
221115,676857
674473,835434
844977,914763
177233,889341
187811,774063
108698,616387
162907,468732
488472,362454
1756949,301852
1735096,279638
791717,299367
67332,381726
169970,541651
114254,754143
383851,945988
59611,1029265
551253,952807
175694,733301
283354,447092
1016553,192079
1702889,45600
1018118,42434
721986,177234
72777,414899
401978,695345
301923,939585
267902,1070394
129857,1043690
282362,869845
246014,608976
18749,343591
323713,144837
651203,48565
796133,50966
937850,123272
399768,233350
322646,358380
185188,482318
183060,586349
40681,645937
185745,639404
157262,560866
167026,427162
346504,273794
1083473,142522
226152,68307
280470,70812
81750,148586
64682,275017
145841,402693
202250,480713
101523,477578
317241,395725
626958,269290
905393,148441
934969,80849
627555,97872
637950,206086
652454,383594
1175046,584744
473769,756650
80617,861042
26609,886055
32014,840044
47035,737529
131766,592522
