-11425,11367,6116,-689,3,575
-11460,11010,7310,-985,46,601
-11553,10406,7848,-1178,216,668
-11739,12607,6212,-1208,396,742
-10582,11709,7182,-948,527,776
-11115,9945,3754,-564,622,845
-12237,13056,10078,-346,566,1033
-10972,14713,-1042,-23,841,948
-11319,14436,-1778,383,492,734
-11185,12895,3589,756,100,577
-11769,10716,2807,1112,30,502
-11581,11159,2951,1033,-12,538
-11679,10849,3797,757,-42,599
-11548,11121,4495,361,-39,620
-11100,10127,4338,266,-56,605
-11062,11236,5869,108,-35,623
-11003,11554,5852,-50,37,586
-10487,12982,5127,4,52,-127
-10856,11447,6006,170,113,-202
-10185,11079,5347,271,176,-244
-11669,9632,884,271,352,-316
-12585,8974,2818,429,147,-316
-11909,10248,4941,438,118,-275
-11999,12597,-1082,455,219,-266
-12116,11558,3775,395,-53,-311
-11474,11348,7556,475,-79,-287
-12054,14219,3330,347,211,-295
-11421,1122,9816,-360,156,-286
-9607,2848,11101,615,-68,-215
-13958,8211,4176,57,311,109
-14930,8493,974,-559,481,250
-10666,7999,5295,-719,246,315
-12360,9044,4002,-839,314,383
-10941,10052,2916,-816,353,413
-10009,9235,-936,-22,-35,145
-11147,9145,4636,-1,-335,147
-10982,9652,2774,77,-183,161
-11984,11318,2482,66,-126,185
-12082,12383,2806,25,-254,132
-12075,12470,5386,64,-352,52
-12345,10984,5318,165,-329,-1
-11509,10755,9601,253,-283,27
-13424,12680,8554,456,-71,-38
-11290,13278,5675,561,138,-149
-6442,12012,6770,550,203,-253
-12757,13503,-135,838,405,-483
-7787,14238,7868,1025,374,-694
3406,15371,10257,1298,668,-809
-12458,28855,-20413,-1439,1849,-1409
-5927,1425,22309,-1097,-193,-2357
-22504,-2283,32764,7640,-2387,-2983
-19971,-20975,-9145,2733,2134,-2000
-12083,9909,-4509,2085,-225,281
-11491,14724,-7234,2090,-359,418
-12683,13818,-1160,2315,-912,296
-11504,10086,5338,2499,-1097,93
-12696,9549,2818,2649,-1032,60
-12603,10862,7777,2552,-1062,79
-12946,10777,8701,2174,-795,116
-13220,10813,5974,1395,-354,162
-12400,12282,2813,863,-230,205
-13766,8667,11901,644,-161,275
-15992,8868,5319,849,154,371
-4289,32764,-246,2013,128,730
-18602,10966,7457,1915,556,-288
-13279,5211,-14181,2842,230,-370
-15331,-631,-11199,1044,-444,-225
-14206,5211,4453,1051,-1375,198
-12757,10083,11025,1823,-1182,380
-14997,10829,-2935,2308,-578,392
-12611,8581,5595,2230,-679,533
-12544,12101,573,2117,-456,565
-11975,11665,3054,1957,-455,504
-11992,11014,4055,2089,-482,411
-11982,10855,3423,2253,-407,370
-12873,9968,2329,2279,-294,352
-12570,10179,1379,2092,-179,414
-12420,10370,1796,1896,-181,464
-12790,12225,2161,1728,-203,473
-12490,11632,207,1495,-120,406
-12436,10724,-1106,1364,-142,372
-12258,10163,67,1201,-253,354
-12428,10520,1105,1003,-267,358
-12309,10429,316,939,-242,347
-12601,9514,-184,983,-219,320
-12658,9192,159,1058,-250,329
-12840,8299,178,1048,-266,361
-13029,9284,1030,1154,-280,458
-12055,10357,-1812,1084,-330,512
-12283,9679,2113,682,-381,542
-12543,10389,1949,638,-213,568
-11845,11249,-565,609,-125,581
-12632,10709,-1466,450,-132,577
-11797,11152,784,289,-239,579
-12682,10768,588,224,-200,560
-11879,10193,-1312,122,-142,568
-12860,10247,-1065,73,-174,591
-13199,9818,267,14,-207,613
-13330,10095,1729,0,-197,645
-11725,11118,839,55,-164,669
-12084,11723,-670,158,-134,643
-13547,10751,-645,138,-177,610
-13132,12074,1715,136,-274,589
-11672,12253,2151,197,-228,539
