9353,-14188,18192,-1618,-146,424
8854,-18808,19751,-1621,-89,345
8874,-18467,18454,-1663,-34,428
7008,-19865,18007,-1668,-95,463
8899,-21985,19874,-1730,21,452
8134,-22957,18312,-1696,136,479
8052,-22962,25990,-1653,44,552
7025,-22425,17261,-1600,339,775
7227,-21290,19422,-1481,274,874
7630,-20665,18119,-1324,243,938
5530,-22308,22544,-1138,186,1071
6396,-19281,18067,-883,359,1229
6221,-17624,19169,-819,366,1312
7190,-15190,19512,-803,404,1371
8024,-13904,20000,-803,463,1367
7371,-13342,17109,-831,618,1347
6361,-13554,12592,490,-412,72
5064,-13484,9287,491,-321,137
5152,-13020,11110,518,-450,128
5708,-11564,11695,394,-390,117
5198,-12946,10356,290,-285,73
3814,-14913,8031,284,-228,50
3826,-15909,7086,429,-298,81
1771,-15599,8890,584,-446,106
2184,-16345,8377,847,-572,102
2419,-16353,9278,1124,-665,137
4528,-14262,14294,1216,-695,191
5510,-11093,12548,1046,-377,234
6221,-11224,12359,972,-217,215
3683,-10003,11852,765,174,63
3057,-10562,11985,746,237,66
3129,-10942,10580,806,312,78
2430,-10857,11995,808,354,117
3291,-9104,12175,855,425,137
3198,-9538,12228,840,535,112
3221,-9253,11783,801,655,75
3206,-9273,11979,783,780,29
3286,-9467,11591,789,868,-10
2577,-10229,11120,764,969,-50
2407,-10800,11324,772,1056,-55
2236,-11094,11226,799,1091,-50
2531,-10219,11521,817,1149,-24
2378,-10360,11488,831,1200,-32
2177,-10506,10505,814,1249,-37
2006,-10595,10150,798,1258,-51
1860,-11180,10498,764,1221,-51
1716,-11441,10212,767,1222,-15
2038,-10463,10896,723,1125,194
2294,-9588,10321,716,1103,191
1271,-10845,10221,668,1070,191
1302,-10194,8021,688,1033,241
1360,-9411,9129,636,896,245
438,-10290,9127,584,811,237
806,-9172,7803,546,704,254
1015,-9327,8912,500,512,231
770,-8629,9157,474,395,230
1348,-8544,9834,488,235,216
2170,-8680,9565,500,162,223
2397,-8020,9954,420,104,195
1896,-7309,9470,239,46,155
1624,-7483,10146,158,-23,108
1818,-7052,10512,117,-69,68
1840,-7606,10363,56,-101,49
2007,-6998,10241,-7,-103,7
1525,-7720,10560,-59,-146,-56
2338,-4310,14521,-402,-134,-239
4303,-7678,13737,-473,-101,-341
3061,-9850,10225,-544,-13,-371
3229,-7685,8501,-596,-91,-332
4985,-7135,12762,-623,-198,-356
5938,-8796,12209,-803,-130,-594
6894,-9604,13726,-736,-217,-624
7988,-5749,16211,-644,-189,-613
7572,-8930,16402,-505,-60,-712
7557,-9074,17266,-373,33,-701
7952,-8515,19689,-254,88,-666
8091,-13598,13745,-50,174,-583
6936,-11829,24321,-602,223,-353
7662,-11744,22200,-476,492,-236
7389,-13769,20624,-339,701,-121
8293,-12100,20328,-174,832,-14
8656,-11292,17623,-88,942,25
8309,-11712,17077,-45,905,13
8248,-11860,19190,-42,879,25
6662,-11683,22204,49,967,45
6683,-11705,18662,196,1246,44
6176,-11547,16089,326,1285,45
5544,-12329,16504,382,1149,42
5539,-11864,17497,434,1070,79
5292,-12112,16295,501,1111,98
4462,-12153,15294,535,1073,138
4286,-11749,15083,565,967,204
4135,-11452,15228,611,885,246
3577,-11696,14934,629,839,283
3366,-11384,14725,656,769,338
2626,-12027,13926,695,728,372
2311,-12237,13075,717,673,404
2101,-11177,11764,753,550,429
2251,-12417,12821,691,412,456
2496,-9670,12937,617,378,520
2262,-9704,12839,573,331,486
2070,-10361,12744,551,320,469
1606,-10278,11415,534,303,441
1261,-10073,12031,510,228,401
1295,-10891,11729,500,183,349
1086,-10580,12630,397,141,323
1117,-10547,12114,416,96,287
541,-12075,12975,447,44,261
205,-12682,11943,479,68,281
-841,-12217,10111,518,-25,314
-942,-12150,12353,562,-178,320
-1006,-11773,9713,610,-218,337
-1159,-10693,9492,574,-329,367
-1625,-9681,9356,550,-362,382
-2668,-10821,5558,499,-288,387
-1996,-9702,1675,421,-366,433
-3062,-10003,-2623,334,-664,483
-3370,-9035,-1023,42,-1176,567
-3331,-7897,-42,-104,-1469,586
-1642,-8808,-4478,-335,-1673,569
-1196,-9104,-1511,-411,-2143,622
378,-4186,1433,-379,-2416,666
2452,-3089,7067,-515,-2369,513
3415,-3135,3560,-493,-2222,301
5615,-3411,5433,-442,-2327,134
11749,581,-4261,-353,-2331,-348
12453,-9388,7370,-882,-2904,-736
4750,-10236,24652,-1204,-3449,-572
2527,-17535,12133,-518,-2937,-169
1917,-9697,-10260,-713,-2032,122
2755,-6477,9858,-679,-2946,199
2320,-9138,1180,-582,-2845,148
2061,-10839,7172,-674,-3134,143
2218,-11012,5210,-734,-3046,218
2683,-10698,3065,-742,-3003,325
3424,-10227,1676,-793,-3045,418
4062,-8957,2465,-904,-3140,479
4753,-8687,-345,-1087,-3183,519
5549,-8770,3215,-1289,-3335,538
6332,-7517,4013,-1433,-3365,545
6670,-7771,5638,-1520,-3395,503
7017,-8049,8136,-1574,-3369,471
6877,-9491,8190,-1592,-3259,449
6229,-10759,9227,-1606,-3158,416
5996,-11002,10680,-1570,-3063,417
5462,-11698,10730,-1541,-2923,408
4917,-12490,10530,-1487,-2748,395
3888,-13246,9568,-1427,-2606,384
3799,-13013,7900,-1357,-2494,392
2369,-13943,3347,-1360,-2253,404
7986,-11146,6687,-1710,-2971,482
8770,-11124,8952,-1676,-3015,406
9244,-11583,13575,-1649,-2986,324
6772,-15555,13996,-1575,-2716,247
11482,-9810,10598,-1477,-2491,201
9650,-12166,9567,-1422,-2377,55
8272,-13220,10908,-1328,-2309,-32
7999,-13436,8878,-1237,-2146,-46
8085,-14336,6790,-1194,-2051,-73
8760,-14169,5524,-1159,-2028,-99
9486,-14042,5594,-985,-1872,-28
9653,-13700,5188,-943,-1717,14
10284,-13647,2949,-851,-1655,5
