747,848
441,848
530,809
491,739
621,653
573,568
386,498
315,451
290,428
435,422
507,420
299,410
128,386
13,352
11,316
24,281
9,241
41,189
89,124
66,55
41,-2
40,-31
53,-24
45,11
21,51
18,72
36,63
37,29
68,-12
185,-38
130,-34
65,0
13,49
8,92
22,111
29,99
18,62
16,16
2,-20
40,-32
125,-16
212,18
130,51
70,67
10,62
17,44
24,26
17,17
10,17
35,20
17,19
107,12
202,1
254,-8
168,-6
70,12
25,43
54,76
73,99
98,104
33,89
26,58
9,21
84,-9
179,-20
229,-6
132,28
81,68
19,99
51,112
100,105
78,82
33,51
26,22
9,3
121,-2
273,5
266,18
158,30
115,39
2,49
42,64
66,82
76,94
45,89
13,64
17,28
84,-4
322,-18
314,-6
139,29
73,76
1,121
35,151
89,156
29,133
41,89
18,38
36,-3
99,-20
293,-10
338,19
51,53
51,81
1,99
5,107
4,104
8,88
59,58
50,18
13,-20
18,-41
96,-35
146,-4
29,38
25,73
56,88
53,79
6,52
3,20
38,-2
62,-4
14,13
6,34
54,41
81,25
26,-6
13,-32
11,-34
9,-7
2,35
1,67
32,68
50,34
61,-19
20,-62
153,-71
96,-39
34,19
42,76
38,110
34,112
25,85
22,40
21,-6
45,-35
56,-36
50,-10
80,29
230,61
902,70
1474,57
1190,47
488,82
236,197
77,393
150,621
353,797
501,845
66,740
657,521
1547,273
717,89
193,36
129,133
81,340
46,568
54,715
309,714
145,562
72,318
53,73
189,-90
149,-130
78,-61
49,63
52,177
38,233
34,216
51,142
99,46
89,-32
84,-63
82,-40
82,20
69,84
33,120
61,113
49,71
78,15
42,-30
56,-43
62,-17
78,34
89,83
86,105
86,92
42,54
61,12
