5382,87711,13,
17,75603,13,
4430,57267,608,
5505,35513,608,
7785,14743,608,
821,-821,608,
3524,-8763,608,
2485,-9220,608,
4046,-4530,608,
2966,1939,608,
2198,7173,608,
2804,9492,608,
8817,8799,608,
32374,6198,608,
6874,3348,608,
11090,1837,608,
12906,2630,608,
33773,5686,608,
65154,10061,608,
52694,14634,608,
45277,18985,608,
18948,23621,608,
42842,29239,608,
37501,35690,608,
24450,41682,608,
57779,45503,608,
87641,46140,608,
101780,44090,608,
85595,41511,608,
58806,41484,608,
73229,46425,608,
98517,56477,608,
90907,69164,608,
35291,80741,608,
52570,88131,608,
38318,89944,608,
61242,86316,608,
35381,78398,608,
18490,68020,608,
22198,57290,608,
33774,47920,608,
26614,40673,608,
8693,35408,608,
11506,31552,608,
10973,28479,608,
13509,25628,608,
15118,22583,608,
3818,19232,608,
5094,15833,608,
13446,12837,608,
11609,10596,608,
7524,9214,608,
910,8599,608,
10714,8544,608,
4289,8748,608,
3418,8866,608,
2001,8630,608,
1934,7945,608,
6401,6880,608,
9194,5615,608,
4091,4406,608,
5894,3547,608,
10370,3279,608,
997,3672,608,
4214,4572,608,
3531,5644,608,
3866,6484,608,
850,6766,608,
1400,6369,608,
1741,5409,608,
1745,4159,608,
1862,2925,608,
938,1950,608,
958,1360,608,
6779,1152,608,
2405,1233,608,
1106,1493,608,
454,1855,608,
2058,2255,608,
2249,2595,608,
1230,2755,608,
206,2663,608,
837,2345,608,
7574,1907,608,
1547,1490,608,
961,1240,608,
2585,1272,608,
4122,1604,608,
2950,2122,608,
2293,2641,608,
629,3008,608,
1814,3154,608,
4500,3083,608,
989,2845,608,
430,2524,608,
1602,2218,608,
2018,1995,608,
3905,1862,608,
1619,1788,608,
554,1755,608,
1261,1772,608,
1270,1838,608,
1377,1911,166,
1557,1924,166,
5787,1836,166,
2414,1675,166,
913,1542,166,
1881,1559,166,
1017,1782,166,
786,2140,166,
4131,2465,166,
1683,2593,166,
1046,2467,166,
342,2165,166,
1925,1836,166,
2709,1597,166,
738,1484,166,
857,1471,166,
638,1510,166,
3197,1551,166,
1044,1554,166,
555,1507,166,
1449,1434,166,
3668,1372,166,
4133,1348,166,
699,1385,166,
646,1513,166,
2393,1744,166,
2019,2032,166,
588,2275,166,
74,2372,166,
565,2275,166,
1241,1999,166,
1245,1603,166,
1160,1175,166,
161,815,166,
626,603,166,
3123,565,166,
2037,667,166,
789,847,166,
594,1058,166,
1217,1272,166,
3078,1457,166,
499,1574,166,
641,1602,166,
742,1556,166,
2141,1469,166,
1285,1365,166,
638,1260,166,
329,1173,166,
773,1120,166,
480,1097,166,
1490,1076,166,
337,1025,166,
585,934,166,
3002,825,166,
1477,739,166,
65,722,166,
300,806,166,
281,979,166,
1509,1171,166,
541,1285,166,
3425,1257,166,
2041,1105,166,
1595,928,166,
379,858,166,
761,979,166,
2530,1266,166,
1706,1592,166,
1808,1812,166,
850,1855,166,
3342,1752,166,
1378,1598,166,
603,1491,166,
1874,1485,166,
398,1571,166,
1070,1684,166,
2152,1740,166,
1481,1684,166,
826,1524,166,
2675,1326,166,
266,1177,166,
962,1136,166,
901,1203,166,
779,1322,166,
4328,1414,166,
116,1426,166,
801,1369,166,
629,1305,166,
324,1289,166,
779,1319,166,
1733,1336,166,
197,1278,166,
5058,1133,166,
842,957,166,
5108,857,166,
1476,942,166,
1826,1264,166,
686,1778,166,
